,imdb_id,title,tags
145,2975590,batmanvsuperman:dawnofjustice,batmanvsuperman:dawnofjustice action adventure scifi 2016 2975590
146,1877832,x-men:daysoffuturepast,x-men:daysoffuturepast action adventure scifi 2014 1877832
147,4633694,spider-man:intothespider-verse,spider-man:intothespider-verse action adventure animation 2018 4633694
148,0116282,fargo,fargo crime drama thriller 1996 0116282
149,2024544,12yearsaslave,12yearsaslave biography drama history 2013 2024544
150,0316654,spider-man2,spider-man2 action adventure scifi 2004 0316654
151,0816711,worldwarz,worldwarz action adventure horror 2013 0816711
152,0478970,ant-man,ant-man action comedy scifi 2015 0478970
153,1981115,thor:thedarkworld,thor:thedarkworld action adventure fantasy 2013 1981115
154,2802144,kingsman:thesecretservice,kingsman:thesecretservice action adventure comedy 2014 2802144
155,1045658,silverliningsplaybook,silverliningsplaybook comedy drama romance 2012 1045658
156,1951264,thehungergames:catchingfire,thehungergames:catchingfire action adventure scifi 2013 1951264
157,1074638,skyfall,skyfall action adventure thriller 2012 1074638
158,8579674,1917,1917 action drama war 2019 8579674
159,1670345,nowyouseeme,nowyouseeme crime mystery thriller 2013 1670345
160,0117951,trainspotting,trainspotting crime drama 1996 0117951
161,0304141,harrypotterandtheprisonerofazkaban,harrypotterandtheprisonerofazkaban adventure family fantasy 2004 0304141
162,0295297,harrypotterandthechamberofsecrets,harrypotterandthechamberofsecrets adventure family fantasy 2002 0295297
163,0405159,milliondollarbaby,milliondollarbaby drama sport 2004 0405159
164,0948470,theamazingspider-man,theamazingspider-man action scifi 2012 0948470
165,1270798,x-men:firstclass,x-men:firstclass action scifi 2011 1270798
166,0780504,drive,drive action drama 2011 0780504
167,3783958,lalaland,lalaland comedy drama music 2016 3783958
168,1386697,suicidesquad,suicidesquad action adventure fantasy 2016 1386697
169,3748528,rogueone:astarwarsstory,rogueone:astarwarsstory action adventure scifi 2016 3748528
170,1170358,thehobbit:thedesolationofsmaug,thehobbit:thedesolationofsmaug adventure fantasy 2013 1170358
171,1856101,bladerunner2049,bladerunner2049 action drama mystery 2017 1856101
